Uuid,Attribute|54686249-2c26-4dd9-be90-fc7868dedd8f,Name,Attribute|d4e54a2f-39bf-4b0a-8000-f2048eddbe12,Description,Attribute|f369dbaa-3a0a-416e-97d1-cac1a230824f,County/District,State/Province,Address 4,Void/Retire,_order:1000,Unnamed: 11
58f59ea7-2229-4bd6-900c-e9eb6e6390cc,1094817,1St Tedecha Primary Clinic,Operational,Primary Clinic,Clinic,Oromia Region,West Guji Zone,Dugda Dawa,,,
82529663-f32d-45c0-9ec0-49891349951e,1001595,22 Mazoria Internal Medicine Speciality Clinic,Operational,Internal Medicine clinic,Specialty Clinic,Addis Ababa City Administration,Bole Sub City,Woreda 4,,,
3002632f-3e02-4a3b-9d6d-b8e84d662ed9,1002249,3B Doctor Bereket Bogale Dental Specialty Clinic,Operational,Dental Speciality Clinic,Specialty Clinic,Addis Ababa City Administration,Kirkos Sub City,Woreda 8,,,
a6620e2a-beee-44ae-af08-c99237a310fd,1057871,3F Primary Clinic ,Operational,Institution Based Primary Clinic,Clinic,Oromia Region,Sheger City,Furi Sub -City,,,
81e560ab-650c-45b8-af6c-885dd96b2c66,1057562,3S Pediatrics Specialty Clinic,Operational,Pediatric clinic,Specialty Clinic,Addis Ababa City Administration,Kolfe Sub city,Woreda 4,,,
84778441-c29e-4c4e-ad52-d849a9242be7,1030060,58 Kidest Mariam Medium Clinic,Operational,Medium Clinic,Clinic,Addis Ababa City Administration,Nifas Silk Lafto Sub City,Woreda 12,,,
32f19a7b-cb00-4900-8e67-b8a3ee8f11b5,1044294,6 Killo Medium Clinic,Operational,Medium Clinic,Clinic,Addis Ababa City Administration,Arada Sub City,Woreda 6,,,
501253ed-3db3-41bc-9ecc-0ae1c48ef026,1098178,A1 Dermatology Specialty Clinic ,Operational,Dermatology clinic,Specialty Clinic,Addis Ababa City Administration,Bole Sub City,Woreda 3,,,
dbfcf55a-d0e6-411b-aa8b-627d00e6e38f,1094611,Aafiya Primary Clinic,Operational,Primary Clinic,Clinic,Somali Region,Dawa,Moyale,,,
f41249f0-9770-4ea8-a5df-c188cbae594a,1049473,Aansar Primary Clinic,Operational,Primary Clinic,Clinic,Oromia Region,Jimma Zone,Seka Chekorsa,,,
9e0e6d76-2867-42a8-be33-263d33c86959,1090307,AAU College of Natural & Computational Sciences Medium Clinic,Operational,Institution Based Medium Clinic,Clinic,Addis Ababa City Administration,Arada Sub City,Woreda 9,,,
cbe30aa5-2185-4dfb-9e55-32598a75affb,1053672,Ababiya Medium Clinic,Operational,Medium Clinic,Clinic,Oromia Region,Arsi zone,Hitosa,,,
d9c92cdf-f0ee-421e-a390-8c15e2c56dd3,1003985,Aba Biya Midium Clinic,Operational,Medium Clinic,Clinic,Oromia Region,East Shewa Zone,Metehara Town,,,
76d91b47-ad74-4587-8fde-0723302cb711,1087570,Aba Biya Primary Clinic,Operational,Primary Clinic,Clinic,Oromia Region,Guji Zone,Saba Boru,,,
44621a2f-9cfa-4c07-a486-22eb587e6f0c,1097886,Ababogibo,Operational,Medium Clinic,Clinic,Oromia Region,Jimma Zone,Limu Genet Town,,,
41b225d2-63cc-4b80-994a-5204d81aa0dc,1099173,Aba Chaltu Primary Clinic,Operational,Primary Clinic,Clinic,Oromia Region,East Wollega Zone,Diga,,,
ebb8410d-4104-4d18-af77-09452ca964a8,1086183,Abadi Primary Clinic,Operational,Primary Clinic,Clinic,Benishangul-Gumuz Region,Assosa Zone,Kurmuk Woreda,,,
dc48808d-eefa-48d1-8cf1-32730beb3ef3,1001604,Abadir Medium Clinic,Operational,Medium Clinic,Clinic,Harari Region,Abadir,,,,
b385be39-5ab3-4e60-a58a-2f243a42dd3b,1003988,Abadir Medium Clinic,Operational,Medium Clinic,Clinic,Dire Dawa City Administration,Dire Dawa Operational,,,,
e5beb973-e4f5-4af9-8677-13e5cff884f0,1034462,Abadir Primary Clinic,Operational,Primary Clinic,Clinic,Oromia Region,East Hararge Zone,Kersa,,,
e34a355b-7fee-4459-94f3-af745e576b89,1084371,Aba Dula Medium Clinic,Operational,Medium Clinic,Clinic,Oromia Region,Buno Bedele Zone,Borecha,,,
e7b22721-46a3-499f-9689-94e7fc6b5237,1083773,Aba Gada Medium clinic,Operational,Medium Clinic,Clinic,Oromia Region,Guji Zone,Uraga,,,
6d98e247-9728-4bae-a92f-19649b98ce04,1085114,Aba Gada Primary Clinic,Operational,Primary Clinic,Clinic,Oromia Region,Guji Zone,Uraga,,,
8bed07e7-05e3-483b-a5e8-579cc8ee7500,1094226,Aba Gada Primary Clinic,Operational,Primary Clinic,Clinic,Oromia Region,West Hararge Zone,Habro,,,
1fe67d45-0cd6-45ad-b7d7-16ecf21b8cf1,1097740,Abagamachis Medium Clinic,Operational,Medium Clinic,Clinic,Oromia Region,Ilu Aba Bora Zone,Hurrumuu,,,
57dff2f1-146f-4101-be41-d1c42c62bacd,1080057,Aba Geda Institution Based Medium Clinic,Operational,Institution Based Medium Clinic,Clinic,Oromia Region,Adama Town,Dambela Sub City,,,
b5488e8f-1eaf-440d-9786-9a0e5b75bae7,1085569,Aba Geda Primary,Operational,Primary Clinic,Clinic,Oromia Region,Guji Zone,Odo Shakiso,,,
b2228170-f387-414d-9ee6-ba3e314cd7bd,1089073,Aba Geda Primary Clinic,Operational,Primary Clinic,Clinic,Oromia Region,West Wollega Zone,Begi,,,
ac355c9e-6f97-4e7c-8038-60073fde5223,1089146,Aba Geda Primary Clinic,Operational,Primary Clinic,Clinic,Oromia Region,West Wollega Zone,Qondala,,,
757b3ea2-cadb-4a41-bdd1-f9309156c1dd,1003973,Aba Jema Primary Clinic,Operational,Primary Clinic,Clinic,Oromia Region,Arsi zone,Guna,,,
5f7b1144-e1c6-4fbe-a8b5-922ba881e87a,1038083,Aba Jifar Medium Cilinic PLC,Operational,Medium Clinic,Clinic,Oromia Region,Jimma Town,Jimma Town,,,
af138805-f577-4ea4-8d03-960fa856e4e7,1032327,Abajifar Primary Clinic,Operational,Primary Clinic,Clinic,Oromia Region,Shashemene Town,Haruf SubCity,,,
6746820b-cdef-45cd-9df4-a63323098df8,1049458,Abajifar Primary Clinic,Operational,Primary Clinic,Clinic,Oromia Region,Jimma Zone,Mencho,,,
0d35b025-279b-4db5-a326-beff5a8eca2b,1049472,Abajifar Primary Clinic,Operational,Primary Clinic,Clinic,Oromia Region,Jimma Zone,Seka Chekorsa,,,
3527a031-1ace-4405-a59e-53497a3d5ce7,1088011,Abakoricho Medium Clinic,Operational,Medium Clinic,Clinic,Central Ethiopia Region,Halaba Zone,Wera Dijo Woreda,,,
78a17b85-66c0-4a86-81b0-e9e895aeaa0b,1099026,Abala Medium Clinic,Operational,Medium Clinic,Clinic,Afar Region,Zone 2,Abala City Administration,,,
ff16dd4f-1d18-48b6-8bd2-f9b9e0aaadd8,1037637,Abalan Primary clinic,Operational,Primary Clinic,Clinic,Oromia Region,Horo Gudru Wellega Zone,Amuru,,,
c13e5949-ae8a-4bae-a538-63b3fb557be8,1080790,Abala Primary Hospital ,Operational,Primary Hospital,Hospital,Afar Region,Zone 2,Abala City Administration,,,
c217b967-8e29-469a-817a-e107d26c1115,1083929,Abala Prison Institute Based Clinic,Operational,Institution based clinics,Clinic,Afar Region,Zone 2,Abala City Administration,,,
6d676877-282b-43be-a015-f26fd21b7c49,1034364,Abalo Medium Clinic PLC,Operational,Medium Clinic,Clinic,Oromia Region,Asela Town,Asella Town,,,
070e0817-ec36-40ee-a757-625f409c0515,1041787,Aba Machu Primary Clinic,Operational,Primary Clinic,Clinic,South Ethiopia Region,Burji zone,Soyama zuriya woreda,,,
8444fd48-03c9-4474-8c77-7a1028bb1886,1035774,Aba Moti Primary Clinic ,Operational,Primary Clinic,Clinic,Oromia Region,South West Shewa,Ameya,,,
08bb8807-0977-4743-9cd7-7fa03d373a2c,1087186,Abaroba Primary Clinic ,Operational,Primary Clinic,Clinic,South Ethiopia Region,Konso zone,Karat zuriya woreda,,,
a9901186-c81f-439a-9b99-29732f30d3ba,1032685,Abaro Primary Clinic,Operational,Primary Clinic,Clinic,Oromia Region,Shashemene Town,Alache Sub city,,,
8a3a3f6d-6a06-4867-a69f-93edfa5a2008,1078943,Abarra Primary Cilinic,Operational,Primary Clinic,Clinic,Oromia Region,Arsi zone,Bokeji Town,,,
fc899e44-5d9c-4bba-83fa-c4d8259ef793,1049388,Aba Sena Medium Clinic,Operational,Medium Clinic,Clinic,Oromia Region,West Wollega Zone,Gimbi Town,,,
9e849c57-d8d0-49f6-b814-85958ad6bebd,1099165,Abasena Primary Clinic,Operational,Primary Clinic,Clinic,Oromia Region,East Wollega Zone,Sasiga,,,
bad1f330-5f77-4940-9eab-13b1ccec0f9c,1059260,Aba Sena Primary Hospital ,Operational,Primary Hospital,Hospital,Oromia Region,Nekemte Town,Nekemte Town,,,
17b55639-5820-49c5-a522-4c8d847c5b62,1079448,Abate Medium Clinic,Operational,Medium Clinic,Clinic,South West Ethiopia Region,Bench Sheko Zone,Mizan Aman Town Administration,,,
84374747-09ee-4b68-a128-dc92cfabb3d2,1097061,Abate Medium Clinic,Operational,Medium Clinic,Clinic,Amhara Region,East Gojjam Zone,Enemay,,,
45e849c3-ccd6-416d-ab02-53a48e29f980,1093998,Abate Primary Clinic,Operational,Primary Clinic,Clinic,Amhara Region,North Wollo Zone,Raya Kobo,,,
56f7cb54-2cab-4b97-9705-c5c4d6c35063,1075779,Abate Workie Primary Clinic,Operational,Primary Clinic,Clinic,Amhara Region,North Shoa Zone,Kewot,,,
ce69a028-7513-443a-87f7-2f732007b85f,1095639,Abat Getu Primary Clinic,Operational,Primary Clinic,Clinic,Amhara Region,West Gojam Zone,Jabi Tehinan,,,
6516ea7b-bbe2-4991-8ff1-d14c20be1b12,1084112,Abat Primary Clinic,Operational,Primary Clinic,Clinic,South West Ethiopia Region,Bench Sheko Zone,Biftu Town Administration,,,
5473a9fa-6635-41b0-bc02-d14843724a3c,1093029,Abawolde Tinsae Medium Clinic ,Operational,Medium Clinic,Clinic,Addis Ababa City Administration,Bole Sub City,Woreda 12,,,
b1fe93f3-411b-4bbb-af6b-b2717047d054,1067879,Abaya Campus Medium Clinic,Operational,Medium Clinic,Clinic,South Ethiopia Region,Arba Minch Town,Arba Minch Town,,,
fa93cb06-cbd7-4d44-9a02-276788aac2fa,1072049,Abay Adaferia Primary Clinic,Operational,Primary Clinic,Clinic,Amhara Region,South Gondar Zone,Libo Kemkem,,,
3815a6b8-5e88-49cd-a1c5-ae4234b8fef4,1045752,Abayagete Primary Clinic,Operational,Primary Clinic,Clinic,South Ethiopia Region,Konso zone,Kolme woreda,,,
9d246fd4-bf36-4bf0-8c67-b191a7130057,1048694,Abaya Medium Clinic,Operational,Medium Clinic,Clinic,Oromia Region,East Wollega Zone,Anger Gute Town,,,
28f16978-81cb-4bf5-818f-4706f90d1ebf,1006121,Abaya Primary Clinic,Operational,Primary Clinic,Clinic,Oromia Region,West Guji Zone,Hambela Wamena,,,
61010c73-7610-4c97-9c10-36a46314c962,1090865,Abaya Primary Clinic,Operational,Primary Clinic,Clinic,Oromia Region,East Wollega Zone,Nunu Kumba,,,
afd2c72d-c734-4a8a-91bd-e63882015b41,1087003,Abaya Primary Clinic ,Operational,Primary Clinic,Clinic,South Ethiopia Region,Konso zone,Karat zuriya woreda,,,
068d2272-c698-45bd-a620-e2b71e832dd9,1028662,Abay Dental Medium Clinic,Operational,Dental Medium Clinic,Specialty Clinic,Addis Ababa City Administration,Arada Sub City,Woreda 1,,,
0dc0e6fd-46f1-4195-9f89-a73cbbf1895e,1058374,Abay Dental Speciality Clinic,Operational,Dental Speciality Clinic,Specialty Clinic,Sidama Region,Hawassa City Administration,Tabor Sub City,,,
5291d62e-607b-402e-a124-0943de200077,1076609,Abay Dental Specialty Clinic,Operational,Dental Speciality Clinic,Specialty Clinic,Amhara Region,Bahirdar Town Administration,Bahir Dar Town,,,
becf48a3-4696-4dc4-829a-5c86eb1ef97b,1079964,Abayineh Primary Clinic,Operational,Primary Clinic,Clinic,Central Ethiopia Region,Hadiya Zone,jajura town,,,
